hour,t_outdoor
7646,12.599375
7647,11.40041667
7648,11.40041667
7649,11.40041667
7650,9.828416667
7651,9.828416667
7652,9.828416667
7653,8.546333333
7654,8.546333333
7655,8.546333333
7656,7.5265
7657,7.5265
7658,7.5265
7659,6.68875
7660,6.68875
7661,6.68875
7662,6.22075
7663,6.22075
7664,6.22075
7665,6.543458333
7666,6.543458333
7667,6.543458333
7668,7.36625
7669,7.36625
7670,7.36625
7671,7.326416667
7672,7.326416667
7673,7.326416667
7674,6.645166667
7675,6.645166667
7676,6.645166667
7677,5.860291667
7678,5.860291667
7679,5.860291667
7680,5.35875
7681,5.35875
7682,5.35875
7683,5.171125
7684,5.171125
7685,5.171125
7686,4.918041667
7687,4.918041667
7688,4.918041667
7689,6.826166667
7690,6.826166667
7691,6.826166667
7692,9.103083333
7693,9.103083333
7694,9.103083333
7695,8.219416667
7696,8.219416667
7697,8.219416667
7698,6.844458333
7699,6.844458333
7700,6.844458333
7701,5.912458333
7702,5.912458333
7703,5.912458333
7704,5.278541667
7705,5.278541667
7706,5.278541667
7707,4.864916667
7708,4.864916667
7709,4.864916667
7710,4.455
7711,4.455
7712,4.455
7713,4.87025
7714,4.87025
7715,4.87025
7716,5.478416667
7717,5.478416667
7718,5.478416667
7719,4.925375
7720,4.925375
7721,4.925375
7722,4.182875
7723,4.182875
7724,4.182875
7725,3.492666667
7726,3.492666667
7727,3.492666667
7728,3.082708333
7729,3.082708333
7730,3.082708333
7731,2.622791667
7732,2.622791667
7733,2.622791667
7734,2.135833333
7735,2.135833333
7736,2.135833333
7737,2.781083333
7738,2.781083333
7739,2.781083333
7740,3.892708333
7741,3.892708333
7742,3.892708333
7743,3.495208333
7744,3.495208333
7745,3.495208333
7746,2.617458333
7747,2.617458333
7748,2.617458333
7749,2.058166667
7750,2.058166667
7751,2.058166667
7752,1.594
7753,1.594
7754,1.594
7755,1.43525
7756,1.43525
7757,1.43525
7758,1.287416667
7759,1.287416667
7760,1.287416667
7761,2.546583333
